Loaded 1000000 images out of 1000000 requested.
len(train_loader) 976
Epoch: [0][  0/976]	Time 90.658 (90.658)	Data 85.706 (85.706)	LR 0.0000e+00 (0.0000e+00)	Loss 5.5587e+00 (5.5587e+00)
Epoch: [0][ 10/976]	Time  0.341 (11.696)	Data  0.000 ( 9.532)	LR 1.5369e-07 (7.6844e-08)	Loss 5.5786e+00 (5.5745e+00)
Epoch: [0][ 20/976]	Time  9.747 ( 7.789)	Data  0.206 ( 5.083)	LR 3.0738e-07 (1.5369e-07)	Loss 5.5845e+00 (5.5739e+00)
Epoch: [0][ 30/976]	Time  0.431 ( 6.007)	Data  0.001 ( 3.488)	LR 4.6107e-07 (2.3053e-07)	Loss 5.5879e+00 (5.5746e+00)
Epoch: [0][ 40/976]	Time  9.661 ( 5.328)	Data  0.537 ( 2.686)	LR 6.1475e-07 (3.0738e-07)	Loss 5.5720e+00 (5.5753e+00)
Epoch: [0][ 50/976]	Time  0.419 ( 4.712)	Data  0.000 ( 2.176)	LR 7.6844e-07 (3.8422e-07)	Loss 5.5596e+00 (5.5740e+00)
Epoch: [0][ 60/976]	Time  8.649 ( 4.427)	Data  0.520 ( 1.830)	LR 9.2213e-07 (4.6107e-07)	Loss 5.5727e+00 (5.5751e+00)
Epoch: [0][ 70/976]	Time  0.422 ( 4.095)	Data  0.000 ( 1.603)	LR 1.0758e-06 (5.3791e-07)	Loss 5.5661e+00 (5.5744e+00)
Epoch: [0][ 80/976]	Time  8.629 ( 3.949)	Data  1.794 ( 1.469)	LR 1.2295e-06 (6.1475e-07)	Loss 5.5638e+00 (5.5737e+00)
Epoch: [0][ 90/976]	Time  0.410 ( 3.726)	Data  0.000 ( 1.358)	LR 1.3832e-06 (6.9160e-07)	Loss 5.5426e+00 (5.5724e+00)
Epoch: [0][100/976]	Time  7.936 ( 3.629)	Data  2.016 ( 1.294)	LR 1.5369e-06 (7.6844e-07)	Loss 5.5863e+00 (5.5717e+00)
Epoch: [0][110/976]	Time  0.452 ( 3.468)	Data  0.000 ( 1.218)	LR 1.6906e-06 (8.4529e-07)	Loss 5.5392e+00 (5.5707e+00)
Epoch: [0][120/976]	Time  7.292 ( 3.389)	Data  3.180 ( 1.192)	LR 1.8443e-06 (9.2213e-07)	Loss 5.5914e+00 (5.5707e+00)
Epoch: [0][130/976]	Time  0.433 ( 3.264)	Data  0.001 ( 1.168)	LR 1.9980e-06 (9.9898e-07)	Loss 5.5565e+00 (5.5704e+00)
Epoch: [0][140/976]	Time  7.218 ( 3.207)	Data  5.000 ( 1.189)	LR 2.1516e-06 (1.0758e-06)	Loss 5.5714e+00 (5.5704e+00)
Epoch: [0][150/976]	Time  0.428 ( 3.111)	Data  0.000 ( 1.173)	LR 2.3053e-06 (1.1527e-06)	Loss 5.5608e+00 (5.5700e+00)
Epoch: [0][160/976]	Time  6.723 ( 3.061)	Data  4.835 ( 1.182)	LR 2.4590e-06 (1.2295e-06)	Loss 5.5576e+00 (5.5693e+00)
Epoch: [0][170/976]	Time  0.409 ( 2.976)	Data  0.001 ( 1.176)	LR 2.6127e-06 (1.3064e-06)	Loss 5.5708e+00 (5.5686e+00)
Epoch: [0][180/976]	Time  6.317 ( 2.937)	Data  5.956 ( 1.209)	LR 2.7664e-06 (1.3832e-06)	Loss 5.5554e+00 (5.5681e+00)
Epoch: [0][190/976]	Time  0.422 ( 2.869)	Data  0.000 ( 1.211)	LR 2.9201e-06 (1.4600e-06)	Loss 5.5446e+00 (5.5677e+00)
Epoch: [0][200/976]	Time  6.494 ( 2.837)	Data  6.132 ( 1.243)	LR 3.0738e-06 (1.5369e-06)	Loss 5.5349e+00 (5.5671e+00)
Epoch: [0][210/976]	Time  0.417 ( 2.779)	Data  0.000 ( 1.241)	LR 3.2275e-06 (1.6137e-06)	Loss 5.5570e+00 (5.5666e+00)
Epoch: [0][220/976]	Time  6.027 ( 2.750)	Data  5.653 ( 1.263)	LR 3.3811e-06 (1.6906e-06)	Loss 5.5609e+00 (5.5662e+00)
Epoch: [0][230/976]	Time  0.420 ( 2.696)	Data  0.000 ( 1.257)	LR 3.5348e-06 (1.7674e-06)	Loss 5.5367e+00 (5.5654e+00)
Epoch: [0][240/976]	Time  5.729 ( 2.669)	Data  5.337 ( 1.273)	LR 3.6885e-06 (1.8443e-06)	Loss 5.5230e+00 (5.5650e+00)
Epoch: [0][250/976]	Time  0.415 ( 2.625)	Data  0.001 ( 1.268)	LR 3.8422e-06 (1.9211e-06)	Loss 5.5714e+00 (5.5646e+00)
Epoch: [0][260/976]	Time  5.605 ( 2.602)	Data  5.226 ( 1.282)	LR 3.9959e-06 (1.9980e-06)	Loss 5.5516e+00 (5.5640e+00)
Epoch: [0][270/976]	Time  0.438 ( 2.561)	Data  0.001 ( 1.272)	LR 4.1496e-06 (2.0748e-06)	Loss 5.5401e+00 (5.5633e+00)
Epoch: [0][280/976]	Time  5.462 ( 2.539)	Data  5.097 ( 1.280)	LR 4.3033e-06 (2.1516e-06)	Loss 5.5632e+00 (5.5627e+00)
Epoch: [0][290/976]	Time  0.420 ( 2.504)	Data  0.002 ( 1.276)	LR 4.4570e-06 (2.2285e-06)	Loss 5.5371e+00 (5.5619e+00)
Epoch: [0][300/976]	Time  4.922 ( 2.484)	Data  4.537 ( 1.282)	LR 4.6107e-06 (2.3053e-06)	Loss 5.5299e+00 (5.5614e+00)
Epoch: [0][310/976]	Time  0.424 ( 2.450)	Data  0.001 ( 1.275)	LR 4.7643e-06 (2.3822e-06)	Loss 5.5440e+00 (5.5604e+00)
